,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,police,police
4,pensais,thought
5,aide,help
6,genre,kind
7,mois,month
8,laisser,let
9,car,because
10,mettre,to put
11,aucun,no
12,laisse,leash
13,eux,them
14,ville,city
15,chaque,each
16,parlé,speak
17,arrivé,come
18,devrait,should
19,bébé,baby
20,longtemps,long time
21,heures,hours
22,vont,will
23,pendant,while
24,revoir,meet again
25,aucune,any
26,place,square
27,compris,understood
28,savais,knew
29,étaient,were
30,attention,Warning
31,voici,here is
32,pourrais,could
33,donner,give
34,type,type
35,leurs,their
36,donné,given
37,train,train
38,corps,body
39,yeux,eyes
40,façon,way
41,écoute,listen
42,trouve,find
43,premier,first
44,perdu,lost
45,main,hand
46,première,first
47,côté,side
48,pouvoir,power
49,vieux,old
50,sois,be
51,tiens,here
52,matin,morning
53,tellement,so much
54,enfant,child
55,point,point
56,venu,came
57,suite,after
58,pardon,sorry
59,devant,in front of
60,vers,towards
61,minutes,minutes
62,chambre,bedroom
63,droit,law
64,mari,husband
65,cause,cause
66,enfin,finally
67,eau,water
68,attendez,Wait
69,parti,left
70,nouvelle,new
71,boulot,job
72,arrêter,Stop
73,dirait,would say
74,loin,far
75,fin,end
76,croire,believe
77,gros,large
78,aura,will have
